  apex.x  apex.y  apex.z  axis.x  axis.y  axis.z  cosHalfAngle       E1+E2           E1   history_number
    2.55    4.79    0.67   -0.80    0.27   -0.03  -0.62430486   0.65906400   0.44611600         5083
    4.51    3.37   -0.82    0.47   -1.07   -0.69  -0.67565359   0.61302000   0.40937200         5091
    2.34    1.92   -0.63   -0.06    1.42    0.91   0.80883877   0.67164800   0.13487000         5100
    3.56    2.98    1.56   -1.65    0.37   -2.63  -0.01086516   0.69812500   0.40492300         5120
    2.90    3.52    0.46   -0.35    1.28    0.58   0.89474176   0.62408600   0.07108900         5149
    4.81    1.55   -0.60    2.26    2.04    0.24   0.83703286   0.64585500   0.11030900         5214
    1.19    2.97    0.44   -0.08    0.39   -0.88  -0.58107490   0.64433700   0.42910100         5306
    3.86    1.47   -0.11    0.20   -0.17    0.07  -0.74118403   0.67261500   0.46828900         5309
    5.31    1.78    0.30    0.60   -0.15    0.37   0.54978278   0.46239300   0.13384700         5370
    7.13    2.95    1.06   -0.08    0.40    0.17   0.69727785   0.43965000   0.09084700         5396
    1.18    2.09   -0.64    0.55    1.01    0.37   0.74060929   0.67011100   0.17008700         5420
    5.95    3.03    1.33    0.34    0.52   -0.31  -0.59843131   0.31655500   0.15749800         5491
    3.21    3.48   -0.49   -0.01    0.01    0.01  -0.17676490   0.67309600   0.40914200         5518
    3.70    2.00    1.27    0.18    0.16   -0.02  -0.09822697   0.67119600   0.39639900         5552
    4.31    3.45   -1.42   -0.86    0.72    0.28   0.46901774   0.51496800   0.17950700         5663
    2.83    2.62    0.44    0.15   -0.06   -0.24  -0.33106662   0.68818200   0.44175100         5688
    7.32    1.45    0.10    0.08    0.54   -0.21   0.91948513   0.67498600   0.06488600         5697
    1.02    5.13    0.84    0.52    0.41    0.02  -0.72294993   0.64659600   0.44327300         5705
    6.35    3.50   -1.14   -0.61    1.57    0.23  -0.47964647   0.05396900   0.00729400         5718
    4.70    2.19   -0.14   -0.20   -0.30   -0.24  -0.88448026   0.66188400   0.46952700         5731
    4.15    2.22    0.41    0.10    0.47    0.04   0.98534881   0.64822900   0.01182800         5766
    2.25    1.54    1.42   -0.20    0.31   -0.02   0.88142360   0.65086600   0.08540300         5771
    0.91    1.81   -1.48   -0.62    1.22    0.28  -0.52751690   0.18279500   0.06459000         5967
    6.05    1.58    0.37   -0.73    1.04   -2.12   0.28276896   0.66303400   0.31960400         6041
    2.97    1.38   -0.10    0.92    0.89   -1.58   0.81455373   0.41662900   0.05472000         6115
    6.22    3.18    0.47    0.12   -1.26    0.42  -0.80439419   0.66363300   0.46514000         6186
    2.35    1.42    1.06   -0.60    0.90   -0.19   0.85487818   0.68500300   0.11155700         6257
    0.79    1.45    0.29    0.58    0.37    0.23   0.57069607   0.64509200   0.22673300         6292
    0.77    1.48    0.32   -0.18    0.45   -0.24   0.83437381   0.38509100   0.04273200         6408
    5.34    2.25    1.38   -0.01   -0.19   -0.03  -0.97258050   0.68104900   0.49338100         6468
    5.91    2.05    0.04    0.07   -0.61    0.44  -0.72575220   0.64632700   0.44325700         6495
    2.65    1.55    0.64   -0.40   -0.15   -0.03  -0.35360121   0.67521100   0.43307700         6532
    7.07    2.49   -0.53   -0.47   -0.79    0.69  -0.82757103   0.67767800   0.47974000         6553
    1.72    1.94    0.89   -0.17   -0.51   -0.07  -0.95881313   0.64602000   0.46018900         6565
    4.57    2.56    0.08    0.31   -0.09   -0.16  -0.11351740   0.67820800   0.40450300         6619
    1.51    2.85    0.83    0.32    0.96    0.10   0.52808171   0.49669600   0.15619200         6784
    5.74    3.22    1.28    0.09   -0.28   -0.27  -0.82460542   0.67316600   0.47538800         6854
    0.98    5.12   -0.07    0.99    0.19    0.58   0.04894872   0.65536300   0.36011900         6862
    6.51    2.23   -1.50    0.72   -0.03    0.29   0.14844513   0.64819600   0.33659100         6900
    4.84    3.37   -1.41    0.61    0.29    1.04   0.15146363   0.66721500   0.35069000         6978
    5.90    1.35   -1.49    0.40    0.59   -0.05  -0.66048095   0.17426700   0.06300500         7172
    0.89    3.32   -0.46    0.80    1.37    0.50   0.69075430   0.66996400   0.19327300         7202
    4.93    1.94    1.47   -0.62   -0.57   -0.02  -0.78197672   0.64815300   0.44934900         7306
    0.62    3.53   -0.44   -0.59    0.47    0.16   0.28228903   0.67094800   0.32551900         7314
    3.12    3.22   -0.30    1.03    1.60   -0.55   0.93746044   0.51389200   0.03040800         7364
    2.27    3.60   -0.23    0.07   -0.26   -0.15  -0.89501254   0.68444300   0.49100000         7394
    5.11    1.40   -0.14   -0.65    0.95    0.07   0.75079196   0.66368600   0.16228800         7492
    3.25    2.25    0.64   -1.31    0.90    0.55   0.41486479   0.57039000   0.22535600         7507
    5.62    1.38   -0.52   -0.68    2.72   -0.80   0.95475016   0.49490000   0.02077800         7509
    1.02    1.73   -0.48   -0.19   -0.04    0.26   0.00242513   0.68918000   0.39533900         7606
    2.03    2.95   -1.02    0.64   -0.68   -0.09  -0.69222419   0.69077000   0.48065300         7663
    5.77    2.43   -0.26   -0.19   -0.07    0.05  -0.44564463   0.66678700   0.43577500         7677
    6.49    1.84    1.13    0.31   -0.25    0.41  -0.22833586   0.66417700   0.40838400         7685
    0.47    1.96   -0.71   -0.18    1.26    0.49   0.57886795   0.52377000   0.15792100         7700
    5.37    1.37    1.15    0.80    0.23   -1.16   0.12024410   0.63766700   0.33370200         7713
    1.82    2.24    0.03    0.08    0.58    0.43   0.63401478   0.54950000   0.15518600         7747
    5.20    3.87   -1.26    0.23    0.60    1.25   0.32766980   0.66695700   0.31172500         7801
    3.08    1.32   -0.42    0.23    0.27   -0.11   0.74646097   0.22309700   0.02223400         7840
    6.15    2.39    1.47   -0.13   -0.28   -0.91  -0.48702016   0.68334900   0.45469400         7848
    4.78    4.20   -1.28   -0.26   -0.37   -0.22  -0.78137515   0.67948500   0.47778100         7874
    5.67    5.28   -0.15    0.38   -0.54    0.29  -0.86011977   0.68603800   0.48987500         7923
    1.63    1.75   -0.69   -0.01   -0.08   -0.03  -0.82780921   0.69320500   0.49398200         7948
    1.14    5.37   -0.35   -0.78   -0.29   -0.09   0.66545836   0.20220700   0.02363900         8013
    7.73    2.51   -0.37    0.04   -0.69    0.07  -0.97759141   0.66493600   0.47885300         8097
    7.44    3.37    1.66    0.04    0.29   -1.19  -0.21741839   0.64842100   0.39362000         8130
    4.67    4.70    1.58    0.17   -0.76   -0.13  -0.82026654   0.63979900   0.44468300         8141
    4.69    1.58    0.39   -1.70    1.41   -0.27  -0.27300218   0.56047900   0.32658200         8201
