  apex.x  apex.y  apex.z  axis.x  axis.y  axis.z  cosHalfAngle       E1+E2           E1   history_number
    7.07    2.49   -0.53   -0.47   -0.79    0.69  -0.82757103   0.67767800   0.47974000         6553
    4.57    2.56    0.08    0.31   -0.09   -0.16  -0.11351740   0.67820800   0.40450300         6619
    2.69    2.96    1.44   -0.03    0.09    0.12  -0.15435118   0.38288500   0.17757800         6719
    3.85    2.90   -0.59    1.44   -0.67    0.18  -0.52654977   0.44310700   0.25241900         6743
    2.98    1.57   -0.79   -0.85    1.81    0.25   0.79686642   0.43086800   0.06300700         6869
    5.39    1.68    0.06   -0.71    0.17    0.08  -0.28269012   0.61935800   0.37691800         7095
    0.62    3.53   -0.44   -0.59    0.47    0.16   0.28228903   0.67094800   0.32551900         7314
    3.13    2.66    0.35   -0.05   -0.22    0.10   0.91504705   0.20732700   0.00690800         7454
    5.11    1.40   -0.14   -0.65    0.95    0.07   0.75079196   0.66368600   0.16228800         7492
    3.25    2.25    0.64   -1.31    0.90    0.55   0.41486479   0.57039000   0.22535600         7507
    5.62    1.38   -0.52   -0.68    2.72   -0.80   0.95475016   0.49490000   0.02077800         7509
    3.77    3.14    0.91   -0.27   -0.23   -0.02   0.37396946   0.25259900   0.05969600         7631
    2.03    2.95   -1.02    0.64   -0.68   -0.09  -0.69222419   0.69077000   0.48065300         7663
    0.47    1.96   -0.71   -0.18    1.26    0.49   0.57886795   0.52377000   0.15792100         7700
    3.08    1.32   -0.42    0.23    0.27   -0.11   0.74646097   0.22309700   0.02223400         7840
    1.14    5.37   -0.35   -0.78   -0.29   -0.09   0.66545836   0.20220700   0.02363900         8013
    4.67    4.70    1.58    0.17   -0.76   -0.13  -0.82026654   0.63979900   0.44468300         8141
    2.30    1.35   -0.92    1.02    1.00   -0.34   0.93505715   0.21226900   0.00557600         8353
    4.01    2.93   -1.32   -0.24    1.35   -0.13   0.49743114   0.45008300   0.13810100         8358
    5.06    1.48   -0.24   -0.52    0.61    0.11   0.97282923   0.25291300   0.00335600         8389
    2.43    1.59   -0.17   -0.57    1.21   -0.18   0.74513888   0.66211700   0.16437100         8555
    3.79    2.96    0.55   -0.52   -0.63   -0.30  -0.27789249   0.41429000   0.21081200         8683
    3.72    1.66   -1.16   -1.21    1.13    0.04   0.76404774   0.55991500   0.11502200         8721
    2.82    1.99    0.84    0.24    0.47    0.45   0.97582659   0.65396000   0.01962400         8764
    3.88    2.99   -0.42    1.14    0.06   -0.47  -0.02068396   0.63534300   0.35533900         8776
    6.70    3.38    1.64   -0.51    0.49   -0.81  -0.75201297   0.52177400   0.33468800         8781
    2.86    3.20    0.83   -0.32   -0.26   -0.06  -0.31588059   0.44869600   0.24052700         8945
    3.14    4.78    0.51   -0.02   -0.10    0.14   0.76679512   0.65109400   0.14914800         9041
    5.54    2.04    0.83   -0.11    1.27    0.16   0.22602627   0.29298800   0.09005500         9079
    3.62    2.69    0.92    0.28    0.34    0.39   0.41106366   0.65548400   0.28208600         9082
    5.36    3.90   -0.46   -0.47   -0.06    0.19  -0.17959378   0.63705800   0.37920100         9189
    0.40    2.83    0.13    1.53    0.24   -0.10  -0.08532267   0.68156000   0.40309700         9216
    3.62    2.37    1.48   -0.64   -0.85   -0.25  -0.71867353   0.65171800   0.44754300         9361
    3.78    1.70    1.66    0.01    0.58   -0.24   0.85125969   0.66496600   0.10783600         9401
    5.87    2.96   -0.72    0.61    0.91    0.53   0.44528049   0.19073500   0.03271800         9506
    2.53    2.42   -0.86   -0.10   -0.54   -0.08  -0.94375826   0.65750700   0.46970400         9551
    1.77    1.33    0.21   -0.41    0.36    0.59   0.64294965   0.34965000   0.06865100         9575
    4.36    1.47   -0.99   -1.71    3.53   -0.72   0.39694391   0.61491300   0.25858400         9810
    3.10    3.16   -0.26   -0.40    1.10    1.01   0.18610049   0.40810100   0.16076800         9916
    2.65    1.96   -1.68    1.11    2.04    0.65  -0.09643411   0.31300400   0.12575600         9931
    6.93    1.95    1.34   -0.10    0.22   -0.11  -0.83711890   0.58722500   0.39847700        10012
    1.78    2.21    1.40   -0.53   -0.33   -0.54  -0.90081696   0.36044600   0.20646100        10019
    1.49    2.17    0.66    0.20    0.01    0.35   0.92037697   0.36243500   0.01937400        10123
    3.22    2.89   -0.62   -0.17    0.54   -0.79   0.68702778   0.30085400   0.04681100        10214
    6.66    2.39   -0.69    0.41    0.80    0.37   0.87011346   0.65353600   0.09309800        10234
    6.64    1.74   -0.25   -0.05    0.70   -0.51   0.57785463   0.45311900   0.12341700        10257
    4.30    2.34    0.20   -0.35    2.43    1.54   0.17930156   0.39217200   0.15155400        10271
    6.34    3.15   -0.86    0.44   -0.58   -0.38  -0.88991157   0.62955000   0.44040300        10373
    5.95    2.86    0.32   -1.08   -0.56   -1.80  -0.33020119   0.64552000   0.40468800        10535
    6.32    4.22    0.72    0.41    0.81   -0.87  -0.79190397   0.20236200   0.08399500        10659
    4.11    5.24    0.95   -1.53   -0.29    0.50  -0.35937172   0.64589700   0.40828000        10723
    3.40    1.33    1.06   -0.32    0.26   -0.37   0.39215087   0.65835600   0.28914300        10816
    3.45    2.66   -0.93   -0.54    0.53    0.96   0.33957062   0.66044300   0.30413500        10971
    0.56    1.56    0.51    1.11    0.95   -0.61   0.35455202   0.42867200   0.15057700        10973
    1.67    3.95   -0.81   -0.52    0.70   -0.39   0.75884362   0.64891700   0.15213600        10988
    6.44    2.61    0.27    0.20    0.67   -0.34   0.95094527   0.67996500   0.04166500        11009
    5.17    3.53    0.67   -0.06    0.40   -0.20   0.66181869   0.66323900   0.20231500        11075
    2.56    1.39    1.29    0.21    0.94    0.41   0.47269591   0.27099800   0.05922200        11078
    6.88    1.89   -0.05   -0.10    1.40    1.63   0.64258746   0.67217500   0.21495800        11332
    3.63    3.09   -0.95   -1.59    1.09    2.20   0.30670481   0.65429900   0.30769000        11356
    3.03    2.08   -0.96   -0.07    0.15    0.26  -0.23509032   0.51657300   0.28683800        11503
    1.91    1.29    0.06   -0.50    0.13    0.36   0.97640310   0.39797900   0.00718200        11694
    0.97    2.56   -1.61    0.75   -0.06   -0.09  -0.38202332   0.63787800   0.40380900        11751
    1.88    3.16    0.30    0.89   -0.07   -0.36  -0.33284102   0.65608700   0.41410200        11752
    2.64    2.03    0.00    0.06    1.03   -0.31   0.80389081   0.33184700   0.03748800        11756
    2.54    2.32    1.06   -0.04    0.84   -0.33   0.90816010   0.65999100   0.06998500        11767
    1.40    4.22    0.71    0.30   -0.10    0.18  -0.52911274   0.57085600   0.36007000        11853
    4.82    2.34   -0.03   -0.47    0.25   -0.30   0.35867902   0.65493000   0.29546500        12055
    2.37    2.71   -0.66   -0.13    0.31    0.00   0.91197779   0.48554900   0.03747600        12061
    2.05    2.87    0.82    1.67    0.56    0.49   0.27238296   0.66762100   0.32536200        12088
    5.24    1.84   -0.77    0.26    0.62   -0.93  -0.66378982   0.38168300   0.21149700        12206
    6.09    1.33   -0.65    0.41    2.01    0.26   0.24237676   0.11140300   0.01579200        12281
    5.15    4.34    1.75    0.43    0.56   -0.46   0.18913123   0.48104800   0.20824300        12383
    5.38    1.97    1.65    1.77    0.39   -2.37   0.11920516   0.66970600   0.35884400        12439
    4.09    2.86   -0.99   -0.56   -0.31    1.52  -0.33106201   0.65127300   0.40974300        12483
    3.63    3.50   -0.55    1.75   -0.39   -0.22   0.09256095   0.52202900   0.25113000        12516
    4.45    1.61    0.47   -1.45    1.64   -0.71   0.85693573   0.63436100   0.09567200        12528
    6.46    2.40   -1.51    0.25    2.70    0.10   0.94797200   0.47979800   0.02234700        12756
    6.92    3.91    0.65    0.22   -0.56   -0.45  -0.59106880   0.67775700   0.45984900        12776
    4.46    1.30   -0.49   -2.49    0.28    0.89   0.63302872   0.32877800   0.06280000        12814
    4.90    2.50   -0.17    0.09   -0.47    0.17  -0.87982209   0.67090300   0.47745100        12871
    1.83    2.45    1.00   -0.21   -0.55   -0.20   0.71472528   0.19236000   0.01865400        12874
    5.40    2.57    1.58   -0.38    0.48    0.15  -0.08304385   0.40578600   0.18762700        13049
    4.80    2.81    0.26    0.57   -0.27    0.00  -0.00510279   0.57464100   0.30489200        13065
    0.31    2.65    0.57   -0.05   -0.12   -0.02  -0.23091272   0.48411100   0.26062100        13099
    3.04    4.71    0.29   -0.28    0.27    0.25  -0.84230614   0.41980700   0.25278800        13161
    3.74    1.81    0.50   -0.35    0.45    0.94   0.38564076   0.61982300   0.26466300        13316
    6.25    2.98    1.41   -0.74    0.20   -0.57  -0.04438824   0.66015100   0.37914300        13325
    2.20    2.93    0.37   -0.55    1.18   -0.12   0.93391986   0.64437400   0.04956400        13337
    6.46    3.42    0.74    0.32    0.45   -0.82   0.47452713   0.64293400   0.25589100        13342
    4.71    4.34   -0.83    0.39    0.74   -0.36   0.10520811   0.28935200   0.09730500        13416
    6.35    2.30   -0.76    0.05    0.16    0.24   0.05647420   0.47387000   0.22113500        13457
    2.34    4.69   -1.25    0.58    0.27    0.72  -0.33389599   0.32583200   0.14975800        13467
    3.15    2.16    1.09   -0.06   -0.03   -0.05  -0.37706309   0.66769900   0.42917900        13477
    2.34    3.56   -0.88   -0.60    1.56   -0.51   0.93549778   0.67563700   0.05309300        13633
    6.50    3.26    1.56   -0.20   -0.57   -0.26  -0.75091997   0.67354800   0.46992900        13698
    1.91    1.72    0.32    0.53    0.67    0.52   0.66807703   0.66791100   0.20209300        13790
    4.94    3.39   -0.59   -0.15    0.00   -0.80  -0.97806215   0.46620500   0.29998000        13990
    5.84    4.69    0.79    1.09    0.20   -1.36   0.43559541   0.62029800   0.25219600        14003
    4.95    2.27    0.66    0.60   -0.65    0.95  -0.35286947   0.64785700   0.40925300        14048
    0.63    3.45    0.12   -0.09    1.45    0.42   0.77602752   0.31551100   0.03833100        14111
    4.87    1.91   -0.51   -2.84    2.34    0.56   0.46169360   0.63750600   0.25612500        14137
    4.32    3.84    1.29   -2.34    1.02   -0.19  -0.34504053   0.60284300   0.36979600        14148
    4.02    2.27    0.38    1.08    0.02    0.15   0.26003037   0.48847500   0.20237400        14259
    0.41    3.90    0.90   -0.10   -0.09   -0.12  -0.38877339   0.66646200   0.42939500        14379
    5.80    2.18   -0.73   -0.77   -0.58    0.97   0.03065233   0.41587700   0.18340100        14426
    2.48    2.07    1.07    0.87   -0.46   -0.82  -0.32276990   0.51951300   0.29795400        14482
    3.62    5.27   -1.36   -0.60   -0.49    0.28  -0.49136225   0.51333600   0.30785200        14701
    2.45    1.51   -0.84   -0.21   -0.11   -0.24  -0.28312800   0.64717000   0.40063400        14851
    6.52    2.06   -0.30    0.07    0.25    0.31   0.50099784   0.38224400   0.10389800        14867
    1.73    2.98    0.21    0.48    1.17   -0.24   0.84853431   0.66555300   0.10966400        14883
    2.38    3.52    0.02   -0.15    0.59    0.18   0.94593104   0.64844100   0.04163400        15021
    2.52    3.09   -1.05   -0.09    1.03   -0.26   0.28394087   0.26581800   0.07214200        15259
    2.39    2.25   -1.67    0.05    0.13   -0.02   0.24036343   0.28679600   0.08572500        15369
