  apex.x  apex.y  apex.z  axis.x  axis.y  axis.z  cosHalfAngle          E0        Edpst   history_number
    4.26    3.64    0.84    0.86    1.15    0.20   0.83434374   0.66100001   0.11664600         1982
    1.04    1.47   -0.35   -0.45    0.14   -0.07   0.52650467   0.66100001   0.25107400         2028
    7.04    1.84   -0.01    0.72    3.00   -0.41   0.99384755   0.66100001   0.00521900         2040
    2.13    2.84   -0.14    0.05    0.64   -1.56   0.38298832   0.66100001   0.29339600         2043
    3.64    2.50   -1.09   -0.29    0.29   -0.08   0.74215784   0.66100001   0.16532300         2048
    0.02    4.80    0.65    0.38    0.62    0.23   0.66918006   0.66100001   0.19809200         2049
    5.23    2.27   -0.80   -0.18    0.59    0.25   0.83326470   0.66100001   0.11727100         2061
    6.51    1.93   -0.76   -0.18    1.96    0.48   0.90473234   0.66100001   0.07252000         2090
    4.23    1.47   -0.17    1.89    0.32   -0.48   0.17157181   0.66100001   0.34192400         2097
    1.19    2.25    1.49    0.12    0.76   -1.02   0.44358143   0.66100001   0.27664200         2106
    6.91    1.40   -0.43    0.99    2.90   -1.02   0.95581631   0.66100001   0.03573600         2115
    1.95    2.45   -0.06   -0.48    0.54    0.50   0.67251567   0.66100001   0.19668900         2125
    2.05    2.23   -0.13    0.02    0.36    0.30   0.22852255   0.66100001   0.33015900         2137
    2.17    2.11    1.24   -0.54    0.22   -0.72   0.26455733   0.66100001   0.32225600         2149
    2.07    2.39   -0.75    0.94    1.09   -0.41   0.66283149   0.66100001   0.20073900         2173
    2.47    2.30    1.13   -0.05    0.58    0.40   0.86925261   0.66100001   0.09562100         2207
    3.48    3.44    0.67   -0.68   -0.63    0.94  -0.94268814   0.66100001   0.47283900         2212
    6.52    2.01    0.51    0.03    0.20    0.79   0.19449285   0.66100001   0.33729100         2222
    6.68    1.66   -1.36   -0.17    0.86    0.72   0.62536260   0.66100001   0.21576500         2228
    0.77    3.84   -1.37    0.31   -0.31   -0.13  -0.71669686   0.66100001   0.45576000         2234
    4.48    2.84   -1.61   -1.13   -0.17    0.04  -0.29327846   0.66100001   0.41370400         2274
    5.82    4.18    0.66    0.26    0.71   -0.25   0.92126105   0.66100001   0.06110100         2386
    7.89    4.78   -0.78   -0.49   -0.74   -0.35  -0.98029503   0.66100001   0.47540900         2399
    4.47    1.77    0.23   -0.20    1.76    0.19   0.96886848   0.66100001   0.02558800         2472
    3.76    3.25    0.26    0.44    0.80   -1.19   0.55329694   0.66100001   0.24207000         2505
    6.49    4.55   -0.41   -1.24    0.59    1.43  -0.00330684   0.66100001   0.37333600         2520
    2.52    2.06   -0.18   -0.81    0.41   -1.37   0.29288135   0.66100001   0.31577400         2526
    6.58    1.49   -0.36    0.56    0.78    0.18   0.90827394   0.66100001   0.07011000         2570
    2.30    1.63    0.43   -1.44    2.12   -2.01   0.73359968   0.66100001   0.16940400         2577
    1.01    2.20    1.55    0.42    1.67   -0.45   0.82917301   0.66100001   0.11962800         2610
    5.32    1.42    0.33   -0.74    0.03    0.05  -0.19068957   0.66100001   0.40078500         2616
    4.39    1.50    0.30    0.13    1.72    1.42   0.26102209   0.66100001   0.32304800         2642
